sku_id,brand_canonical,source_kind,source_page_url,evidence,rights_note,fit_score,next_action
S054,Tanqueray London Dry Gin,official_brand,https://www.tanqueray.com/en-us/tanqueray-london-dry-gin,official product page includes bottle image,needs permission or media-kit confirmation,high,official brand page
S059,Patron Silver,official_brand,https://www.patrontequila.com/products/patron-silver.html,official product page includes bottle and cocktail imagery,needs permission or media-kit confirmation,high,official product page
S060,Patron Reposado,official_brand,https://www.patrontequila.com/en-ca/products/patron-reposado.html,official product page includes bottle image,needs permission or media-kit confirmation,high,official product page
S067,Kopke Fine Ruby Port,distributor,https://www.mottox.co.jp/catalog/wine/620025,distributor product card includes bottle image,needs distributor permission,medium,Japanese distributor page
S068,Kopke Fine Tawny Port,retailer,https://www.wine.com/product/kopke-fine-tawny-port/1758517,retailer product page includes front bottle shot,needs permission; use as candidate only,medium,if no official source found
S072,Martini Bianco,official_brand,https://www.martini.com/products/martini-bianco/,official product page includes packshot,needs permission or media-kit confirmation,high,official packshot
S072,Martini Bianco,wikimedia_cc,https://commons.wikimedia.org/wiki/File:Martini_Bianco.JPG,"licensed photo, 2039x2719",CC BY-SA 3.0 attribution/sharealike required,medium,backup photo
S073,Martini Extra Dry,official_brand,https://www.martini.com/es/es/products/martini-extra-dry/,official product page includes packshot,needs permission or media-kit confirmation,high,official packshot
S073,Martini Extra Dry,wikimedia_cc,https://commons.wikimedia.org/wiki/File:Martini_Extra_Dry_7408.jpg,"licensed photo, 2000x3000",CC BY 3.0 attribution required,medium,backup photo
S074,Martini Rosso,official_brand,https://www.martini.com/products/martini-rosso/,official product page includes packshot,needs permission or media-kit confirmation,high,official packshot
